Time, Open, High, Low, Close, Volume
1536834600000, 194.21, 194.29, 191.78, 193.36, 16878.13429
1536836400000, 193.24, 193.62, 191.41, 193.37, 12985.00193
1536838200000, 193.4, 195.36, 192.81, 195.13, 10744.55465
1536840000000, 195.14, 198.47, 195.14, 197.35, 20023.25097
1536841800000, 197.35, 198.9, 195.81, 198.16, 17445.46921
1536843600000, 198.11, 202.7, 196.68, 202.55, 21404.8124
1536845400000, 202.41, 208.06, 201.0, 205.37, 54554.89743
1536847200000, 205.37, 205.89, 201.88, 202.54, 30083.17382
1536849000000, 202.52, 204.55, 202.0, 202.7, 18267.32507
1536850800000, 202.41, 203.83, 200.11, 203.7, 17291.37831
1536852600000, 203.76, 203.76, 200.98, 202.68, 11018.00315
1536854400000, 202.68, 207.38, 202.64, 206.15, 17745.43895
1536856200000, 206.1, 212.07, 205.3, 208.23, 40157.69819
1536858000000, 208.34, 210.82, 206.1, 206.89, 23952.15275
1536859800000, 206.89, 208.5, 204.44, 207.66, 14966.46042
1536861600000, 207.67, 208.39, 205.52, 207.48, 8290.49627
1536863400000, 207.45, 207.65, 205.11, 205.71, 10397.61367
1536865200000, 205.71, 206.7, 204.1, 204.4, 14388.14048
1536867000000, 204.4, 204.47, 200.8, 202.72, 25550.30863
1536868800000, 202.69, 203.19, 200.35, 203.01, 11364.51655
1536870600000, 203.01, 206.9, 203.0, 205.86, 12126.16731
1536872400000, 205.88, 206.06, 202.9, 203.0, 8258.8893
1536874200000, 202.91, 205.25, 202.89, 204.94, 6921.11587
1536876000000, 204.94, 210.1, 204.24, 209.29, 14937.9269
1536877800000, 209.3, 210.0, 207.25, 207.76, 12309.87718
1536879600000, 207.83, 215.0, 207.31, 213.15, 23734.60589
1536881400000, 213.14, 214.69, 210.17, 210.68, 14541.00186
1536883200000, 210.91, 213.35, 209.13, 209.64, 17016.63255
1536885000000, 209.65, 211.25, 207.61, 208.68, 11474.01458
1536886800000, 208.31, 211.31, 208.3, 211.22, 6898.35112
1536888600000, 211.3, 214.49, 211.22, 213.55, 15035.6751
1536890400000, 213.5, 219.0, 213.49, 218.37, 27127.90693
1536892200000, 218.37, 221.81, 218.08, 219.62, 28188.3419
1536894000000, 219.61, 224.11, 219.33, 224.04, 23056.89608
1536895800000, 224.04, 224.2, 217.5, 218.57, 21039.64378
1536897600000, 218.57, 220.78, 216.63, 217.27, 14185.78225
1536899400000, 217.27, 224.0, 215.32, 216.53, 17332.48213
1536901200000, 216.56, 220.9, 216.53, 220.0, 16222.2009
1536903000000, 219.94, 221.0, 217.0, 217.53, 14692.62303
1536904800000, 217.52, 219.34, 215.5, 216.98, 10712.2982
1536906600000, 217.0, 217.69, 215.56, 217.33, 8081.90088
1536908400000, 217.25, 220.0, 217.25, 218.34, 12990.51821
1536910200000, 218.35, 218.35, 210.21, 212.82, 23801.91557
1536912000000, 212.81, 214.0, 208.5, 213.56, 28895.06893
1536913800000, 213.56, 213.69, 202.94, 204.41, 34391.63306
1536915600000, 204.39, 207.6, 204.07, 206.37, 20995.65855
1536917400000, 206.23, 206.44, 203.0, 204.38, 16224.3744
1536919200000, 204.2, 207.5, 203.46, 206.87, 16837.29958
1536921000000, 207.04, 207.29, 204.6, 205.21, 11112.75814
1536922800000, 205.21, 210.73, 205.0, 209.35, 22260.58211
1536924600000, 209.28, 210.2, 208.02, 208.36, 16278.29598
1536926400000, 208.33, 209.27, 207.12, 207.77, 15518.17622
1536928200000, 207.85, 208.82, 205.98, 208.46, 16763.66898
1536930000000, 208.67, 208.9, 204.51, 205.0, 19982.54327
1536931800000, 205.05, 207.0, 204.36, 205.21, 16687.52738
1536933600000, 205.15, 206.0, 202.6, 205.45, 17428.99136
1536935400000, 205.28, 206.64, 203.5, 204.74, 13536.09749
1536937200000, 204.8, 208.0, 204.73, 206.66, 16408.7174
1536939000000, 206.68, 208.87, 206.1, 208.13, 13400.12382
1536940800000, 208.14, 212.99, 208.12, 211.35, 32171.25304
1536942600000, 211.33, 218.49, 210.71, 217.53, 27807.32378
1536944400000, 217.53, 218.08, 212.64, 214.01, 23008.94273
1536946200000, 214.0, 215.85, 212.31, 212.77, 12731.37994
1536948000000, 212.76, 215.11, 212.57, 212.78, 11371.11933
1536949800000, 212.78, 215.67, 212.6, 214.99, 9120.85131
1536951600000, 214.99, 217.5, 214.72, 216.36, 13049.68282
1536953400000, 216.27, 220.62, 215.88, 218.98, 25666.79537
1536955200000, 218.98, 221.62, 216.68, 217.73, 23148.70265
1536957000000, 217.73, 220.09, 217.1, 218.54, 12508.17472
1536958800000, 218.86, 218.86, 215.18, 216.66, 10459.44339
1536960600000, 216.67, 217.8, 213.89, 214.93, 11063.82304
1536962400000, 214.92, 217.53, 212.3, 215.88, 13199.31646
1536964200000, 215.95, 217.38, 214.71, 215.52, 10479.63652
1536966000000, 215.39, 216.49, 213.66, 214.36, 7396.4393
1536967800000, 214.43, 214.46, 208.33, 208.82, 26184.24145
1536969600000, 208.55, 212.0, 207.64, 210.0, 10489.78625
1536971400000, 209.98, 210.74, 208.73, 209.32, 8895.59425
1536973200000, 209.36, 214.62, 209.2, 213.62, 15146.26735
1536975000000, 213.63, 216.13, 213.49, 215.0, 8656.40128
1536976800000, 215.0, 215.26, 212.59, 214.19, 9081.55795
1536978600000, 214.16, 214.5, 211.78, 212.35, 11936.93899
1536980400000, 212.35, 213.69, 210.6, 210.99, 14939.56985
1536982200000, 211.16, 213.65, 210.65, 213.62, 6329.83754
1536984000000, 213.63, 215.13, 211.33, 212.87, 4844.5474
1536985800000, 212.99, 216.58, 212.86, 215.49, 6725.61025
1536987600000, 215.47, 216.38, 213.0, 214.02, 3722.46096
1536989400000, 214.03, 214.56, 211.49, 212.57, 4475.14988
1536991200000, 212.57, 213.5, 210.75, 212.56, 6299.08476
1536993000000, 212.49, 213.33, 211.7, 212.35, 3479.35954
1536994800000, 212.34, 215.28, 211.83, 214.74, 6291.91635
1536996600000, 214.67, 214.89, 213.6, 213.68, 3215.00776
1536998400000, 213.83, 216.78, 213.69, 216.2, 9817.90241
